tweet_id,timestamp,rating_numerator,rating_denominator,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,lang
892420643555336193,2017-08-01 16:23:56,13,10,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,37559,8194,en
892177421306343426,2017-08-01 00:17:27,13,10,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,32289,6060,en
891815181378084864,2017-07-31 00:18:03,12,10,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,24330,4008,en
891689557279858688,2017-07-30 15:58:51,13,10,Paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,Spatula,0.0408359,False,40912,8343,en
891327558926688256,2017-07-29 16:00:24,12,10,Basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,39100,9042,en
891087950875897856,2017-07-29 00:08:17,13,10,Chesapeake_bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.07690219999999999,False,19668,3000,en
890971913173991426,2017-07-28 16:27:12,13,10,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,Ice_lolly,0.193548,False,11494,1985,en
890729181411237888,2017-07-28 00:22:40,13,10,Pomeranian,0.566142,True,Eskimo_dog,0.17840599999999998,True,Pembroke,0.0765069,True,63399,18204,en
890609185150312448,2017-07-27 16:25:51,13,10,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_bay_retriever,0.118184,True,27036,4121,en
890240255349198849,2017-07-26 15:59:51,14,10,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,30987,7115,en
890006608113172480,2017-07-26 00:31:25,13,10,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,29789,7076,en
889880896479866881,2017-07-25 16:11:53,13,10,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,Muzzle,0.0829811,False,27015,4807,en
889665388333682689,2017-07-25 01:55:32,13,10,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,46711,9686,en
889638837579907072,2017-07-25 00:10:02,12,10,French_bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,26326,4376,en
889531135344209921,2017-07-24 17:02:04,13,10,Golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,Redbone,0.00795775,True,14683,2173,en
889278841981685760,2017-07-24 00:19:32,13,10,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,24527,5195,en
888917238123831296,2017-07-23 00:22:39,12,10,Golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True,28294,4345,en
888804989199671297,2017-07-22 16:56:37,13,10,Golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True,24823,4132,en
888554962724278272,2017-07-22 00:23:06,13,10,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,Malamute,0.111411,True,19255,3413,en
888078434458587136,2017-07-20 16:49:33,12,10,French_bulldog,0.995026,True,Pug,0.000931908,True,Bull_mastiff,0.000903211,True,21138,3361,en
887705289381826560,2017-07-19 16:06:48,13,10,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,29340,5188,en
887517139158093824,2017-07-19 03:39:09,14,10,Limousine,0.130432,False,Tow_truck,0.0291754,False,Shopping_cart,0.0263208,False,44976,11293,en
887473957103951883,2017-07-19 00:47:34,13,10,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,Beagle,0.0389148,True,66962,17522,en
